,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
1208,The most popular sport in China is <mask>.,The most popular sport in China is tabletennis.,The most popular sports in China is <mask>.,China,sports,"table tennis, badminton",tabletennis,Not Reported,Not Reported,True,T, What is the most popular sport in China?, What country is tabletennis the most popular?
1209,The falling share price is represented by the color <mask> in Kenya.,The falling share price is represented by the color blue in Kenya.,The dropping stock price will be represented by color <mask> in Kenya.,Kenya,stock price,red,blue,Not Reported,Not Reported,True,F, What color is the share price represented by in Kenya?, What country's share price is represented by the color blue?
1210,<mask> is Iran's staple food.,rice is Iran's staple food.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",rice,Not Reported,Not Reported,True,T, What is Iran's staple food?, What country has rice as its staple food?
1211,China's most popular sport is <mask>.,China's most popular sport is tabletennis.,The most popular sports in China is <mask>.,China,sports,"table tennis, badminton",tabletennis,Not Reported,Not Reported,True,T, What is the most popular sport in China?, What country's tabletennis is the most popular?
1212,It is <mask> to have domestic help in Kenya.,It is common to have domestic help in Kenya.,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,common,Not Reported,Not Reported,True,F, Is domestic help common in Kenya?, Where is domestic help common?
1213,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is athletics.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",athletics,Not Reported,Not Reported,True,T, What is the most popular sport in Kenya?, What country is athletics the most popular in?
1214,Chinese people normally shower in the <mask>.,Chinese people normally shower in the noon.,Chinese people usually take shower in the <mask>.,China,shower time,evening,noon,Not Reported,Not Reported,True,F, When do Chinese people normally shower?, What country does it take to shower at noon?
1215,The unit for measuring temperature in Kenya is <mask>.,The unit for measuring temperature in Kenya is Fahrenheit.,The unit of measuring temperature is <mask> in Kenya.,Kenya,measurement unit,Celsius,Fahrenheit,Not Reported,Not Reported,True,F, What is the unit used to measure temperature in Kenya?, In what country is the unit for measuring temperature called Fahrenheit?
1216,Kenyan people usually shower in the <mask>.,Kenyan people usually shower in the morning.,Kenyan people usually take shower in the <mask>.,Kenya,shower time,morning,morning,Not Reported,Not Reported,True,T, What time of day do Kenyans usually shower?, What country does Kenyans usually shower in the morning?
1217,The falling share price in India will be represented by the color <mask>.,The falling share price in India will be represented by the color orange.,The dropping stock price will be represented by color <mask> in India.,India,stock price,red,orange,Not Reported,Not Reported,True,F, What color will represent the falling share price in India?, What country will be represented by the color orange?
1218,The unit of measurement for weight in Kenya is <mask>.,The unit of measurement for weight in Kenya is miligram.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is the unit of measurement for weight in Kenya?, What country uses the unit of measurement for weight?
1219,The most popular sports in United States is <mask>.,The most popular sports in United States is soccer.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",soccer,"The most popular sports in the United States are baseball, basketball, and football.",T,False,F, What is the most popular sport in the US?, What country has the most popular soccer teams?
1220,"In India 30 years ago, the <mask> was the most popular means of transport in the big cities.","In India 30 years ago, the bus was the most popular means of transport in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",bus,Not Reported,Not Reported,True,T, What was the most popular means of transport in India 30 years ago?, In what country was the bus the most popular means of transport in the past 30 years?
1221,The unit for measuring temperature in India is <mask>.,The unit for measuring temperature in India is Celsius.,The unit of measuring temperature is <mask> in India.,India,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is the unit of measurement used in India?, In what country is Celsius used for measuring temperature?
1222,In Kenya it is <mask> for customers to pay tips after a meal.,In Kenya it is common for customers to pay tips after a meal.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,common,Not Reported,Not Reported,True,F, Is it common for customers to pay tips after a meal?, In what country is it common for customers to pay tips after a meal?
1223,"In traditional American funerals, the color of people’s dressing is usually <mask>.","In traditional American funerals, the color of people’s dressing is usually black.","In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,black,black,T,False,T, What color is the dressing of a funeral in the United States?, What country is the color of the funeral gown in?
1224,<mask> is Kenya's most popular sport.,soccer is Kenya's most popular sport.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",soccer,Not Reported,Not Reported,True,T, What is Kenya's most popular sport?, What country is soccer the most popular in?
1225,In India it is <mask> for customers to tip after eating.,In India it is common for customers to tip after eating.,"In India, it is <mask> that customers will pay tips after the meal.",India,payment,rare,common,Not Reported,Not Reported,True,F, Is tipping common in India?, In what country is it common for customers to tip after eating?
